batch,Appnumber,Type,MonthlyRent,Size,RacialGroup,Sex,contact,Minneapolis,Law,Positive,StayAtHome
15,2,2,1295,One bedroom units,White American,Male,Ghosted,Minneapolis,0,0,0
15,3,2,1295,One bedroom units,African American,Male,Ghosted,Minneapolis,0,0,0
16,1,2,1695,One bedroom units,White American,Female,Positive contact,Minneapolis,0,1,0
16,2,2,1695,One bedroom units,White American,Female,Positive contact,Minneapolis,0,1,0
16,3,2,1695,One bedroom units,White American,Male,Positive contact,Minneapolis,0,1,0
17,1,2,920,One bedroom units,White American,Female,Ghosted,Minneapolis,0,0,0
17,2,2,920,One bedroom units,White American,Female,Positive contact,Minneapolis,0,1,0
17,3,2,920,One bedroom units,Somali American,Male,Positive contact,Minneapolis,0,1,0
18,1,2,1010,One bedroom units,African American,Female,Positive contact,Minneapolis,0,1,0
18,2,2,1010,One bedroom units,African American,Female,Positive contact,Minneapolis,0,1,0
18,3,2,1010,One bedroom units,White American,Female,Positive contact,Minneapolis,0,1,0
19,1,2,950,One bedroom units,African American,Female,Ambiguous contact,St. Paul and suburbs,0,0,0
19,2,2,950,One bedroom units,Somali American,Male,Ghosted,St. Paul and suburbs,0,0,0
19,3,2,950,One bedroom units,White American,Male,Ambiguous contact,St. Paul and suburbs,0,0,0
20,1,2,1465,One bedroom units,African American,Male,Positive contact,St. Paul and suburbs,0,1,0
20,2,2,1465,One bedroom units,White American,Female,Positive contact,St. Paul and suburbs,0,1,0
20,3,2,1465,One bedroom units,White American,Male,Positive contact,St. Paul and suburbs,0,1,0
21,1,2,1225,One bedroom units,White American,Male,Positive contact,Minneapolis,0,1,0
21,2,2,1225,One bedroom units,African American,Male,Positive contact,Minneapolis,0,1,0
21,3,2,1225,One bedroom units,White American,Female,Ghosted,Minneapolis,0,0,0
22,1,2,1478,One bedroom units,Somali American,Male,Positive contact,Minneapolis,0,1,0
22,2,2,1478,One bedroom units,African American,Female,Positive contact,Minneapolis,0,1,0
22,3,2,1478,One bedroom units,Somali American,Female,Ghosted,Minneapolis,0,0,0
23,1,4,897,One bedroom units,African American,Male,Ghosted,St. Paul and suburbs,0,0,0
23,2,4,897,One bedroom units,White American,Male,Ghosted,St. Paul and suburbs,0,0,0
23,3,4,897,One bedroom units,Somali American,Female,Ghosted,St. Paul and suburbs,0,0,0
24,1,2,1025,One bedroom units,Somali American,Female,Ambiguous contact,St. Paul and suburbs,0,0,0
24,2,2,1025,One bedroom units,African American,Female,Ambiguous contact,St. Paul and suburbs,0,0,0
24,3,2,1025,One bedroom units,White American,Female,Ambiguous contact,St. Paul and suburbs,0,0,0
25,1,2,879,One bedroom units,White American,Female,Ambiguous contact,St. Paul and suburbs,0,0,0
25,2,2,879,One bedroom units,African American,Female,Ambiguous contact,St. Paul and suburbs,0,0,0
25,3,2,879,One bedroom units,Somali American,Female,Ghosted,St. Paul and suburbs,0,0,0
26,1,2,675,One bedroom units,Somali American,Male,Ghosted,St. Paul and suburbs,0,0,0
26,2,2,675,One bedroom units,Somali American,Female,Negative contact,St. Paul and suburbs,0,0,0
26,3,2,675,One bedroom units,White American,Female,Negative contact,St. Paul and suburbs,0,0,0
27,1,2,819,One bedroom units,African American,Male,Ambiguous contact,St. Paul and suburbs,0,0,0
27,2,2,819,One bedroom units,White American,Female,Ambiguous contact,St. Paul and suburbs,0,0,0
27,3,2,819,One bedroom units,Somali American,Male,Ambiguous contact,St. Paul and suburbs,0,0,0
28,1,2,875,One bedroom units,African American,Male,Positive contact,Minneapolis,0,1,0
28,2,2,875,One bedroom units,White American,Male,Positive contact,Minneapolis,0,1,0
28,3,2,875,One bedroom units,White American,Female,Ghosted,Minneapolis,0,0,0
29,1,2,1649,One bedroom units,African American,Female,Positive contact,Minneapolis,0,1,0
29,2,2,1649,One bedroom units,African American,Male,Positive contact,Minneapolis,0,1,0
29,3,2,1649,One bedroom units,Somali American,Male,Positive contact,Minneapolis,0,1,0
30,1,2,1215,One bedroom units,White American,Male,Positive contact,Minneapolis,0,1,0
30,2,2,1215,One bedroom units,Somali American,Male,Ambiguous contact,Minneapolis,0,0,0
30,3,2,1215,One bedroom units,Somali American,Female,Ambiguous contact,Minneapolis,0,0,0
31,1,2,1480,One bedroom units,Somali American,Male,Positive contact,Minneapolis,0,1,0
31,2,2,1480,One bedroom units,White American,Male,Positive contact,Minneapolis,0,1,0
31,3,2,1480,One bedroom units,African American,Female,Positive contact,Minneapolis,0,1,0
32,1,2,1352,One bedroom units,White American,Female,Positive contact,Minneapolis,0,1,0
32,2,2,1352,One bedroom units,African American,Female,Positive contact,Minneapolis,0,1,0
32,3,2,1352,One bedroom units,African American,Male,Positive contact,Minneapolis,0,1,0
33,1,2,1100,One bedroom units,White American,Male,Ghosted,Minneapolis,0,0,0
33,2,2,1100,One bedroom units,African American,Male,Ghosted,Minneapolis,0,0,0
33,3,2,1100,One bedroom units,Somali American,Male,Ghosted,Minneapolis,0,0,0
34,1,2,850,One bedroom units,African American,Male,Ambiguous contact,St. Paul and suburbs,0,0,0
34,2,2,850,One bedroom units,African American,Male,Positive contact,St. Paul and suburbs,0,1,0
34,3,2,850,One bedroom units,Somali American,Female,Positive contact,St. Paul and suburbs,0,1,0
35,1,2,1175,One bedroom units,African American,Female,Positive contact,Minneapolis,0,1,0
35,2,2,1175,One bedroom units,Somali American,Female,Ghosted,Minneapolis,0,0,0
35,3,2,1175,One bedroom units,African American,Male,Positive contact,Minneapolis,0,1,0
36,1,2,850,One bedroom units,African American,Female,Ghosted,St. Paul and suburbs,0,0,0
36,2,2,850,One bedroom units,African American,Male,Ghosted,St. Paul and suburbs,0,0,0
36,3,2,850,One bedroom units,White American,Female,Ghosted,St. Paul and suburbs,0,0,0
37,1,4,930,One bedroom units,African American,Male,Positive contact,Minneapolis,0,1,0
37,2,4,930,One bedroom units,White American,Male,Positive contact,Minneapolis,0,1,0
37,3,4,930,One bedroom units,African American,Female,Positive contact,Minneapolis,0,1,0
38,1,2,1317,One bedroom units,White American,Male,Ghosted,Minneapolis,0,0,0
38,2,2,1317,One bedroom units,African American,Male,Ghosted,Minneapolis,0,0,0
38,3,2,1317,One bedroom units,White American,Female,Ghosted,Minneapolis,0,0,0
39,1,3,1795,One bedroom units,Somali American,Female,Positive contact,Minneapolis,0,1,0
39,2,3,1795,One bedroom units,Somali American,Male,Ghosted,Minneapolis,0,0,0
39,3,3,1795,One bedroom units,White American,Female,Positive contact,Minneapolis,0,1,0
40,1,2,1406,One bedroom units,Somali American,Female,Positive contact,St. Paul and suburbs,0,1,0
40,2,2,1406,One bedroom units,African American,Female,Positive contact,St. Paul and suburbs,0,1,0
40,3,2,1406,One bedroom units,African American,Male,Positive contact,St. Paul and suburbs,0,1,0
41,1,3,1500,One bedroom units,African American,Male,Positive contact,Minneapolis,0,1,0
41,2,3,1500,One bedroom units,African American,Female,Positive contact,Minneapolis,0,1,0
41,3,3,1500,One bedroom units,White American,Female,Positive contact,Minneapolis,0,1,0
42,1,2,1045,One bedroom units,White American,Male,Positive contact,Minneapolis,0,1,0
42,2,2,1045,One bedroom units,Somali American,Female,Positive contact,Minneapolis,0,1,0
42,3,2,1045,One bedroom units,African American,Male,Ghosted,Minneapolis,0,0,0
43,1,2,1595,One bedroom units,Somali American,Male,Positive contact,Minneapolis,0,1,0
43,2,2,1595,One bedroom units,White American,Male,Positive contact,Minneapolis,0,1,0
43,3,2,1595,One bedroom units,White American,Female,Positive contact,Minneapolis,0,1,0
44,1,3,1400,One bedroom units,African American,Male,Ambiguous contact,Minneapolis,0,0,0
44,2,3,1400,One bedroom units,African American,Female,Positive contact,Minneapolis,0,1,0
44,3,3,1400,One bedroom units,African American,Male,Ghosted,Minneapolis,0,0,0
45,1,3,1750,One bedroom units,African American,Female,Positive contact,Minneapolis,0,1,0
45,2,3,1750,One bedroom units,White American,Male,Positive contact,Minneapolis,0,1,0
45,3,3,1750,One bedroom units,White American,Male,Positive contact,Minneapolis,0,1,0
46,1,2,979,One bedroom units,African American,Female,Positive contact,St. Paul and suburbs,0,1,0
46,2,2,979,One bedroom units,White American,Male,Positive contact,St. Paul and suburbs,0,1,0
46,3,2,979,One bedroom units,White American,Female,Positive contact,St. Paul and suburbs,0,1,0
47,1,2,995,One bedroom units,White American,Male,Ambiguous contact,Minneapolis,0,0,0
47,2,2,995,One bedroom units,African American,Female,Ambiguous contact,Minneapolis,0,0,0
47,3,2,995,One bedroom units,Somali American,Male,Ambiguous contact,Minneapolis,0,0,0
48,1,2,1895,One bedroom units,African American,Female,Positive contact,St. Paul and suburbs,0,1,0
48,2,2,1895,One bedroom units,Somali American,Male,Positive contact,St. Paul and suburbs,0,1,0
48,3,2,1895,One bedroom units,African American,Male,Positive contact,St. Paul and suburbs,0,1,0
49,1,2,1050,One bedroom units,White American,Female,Ghosted,St. Paul and suburbs,0,0,0
49,2,2,1050,One bedroom units,White American,Male,Ghosted,St. Paul and suburbs,0,0,0
49,3,2,1050,One bedroom units,Somali American,Male,Ghosted,St. Paul and suburbs,0,0,0
50,1,3,1300,One bedroom units,White American,Male,Ambiguous contact,Minneapolis,0,0,0
50,2,3,1300,One bedroom units,White American,Female,Ambiguous contact,Minneapolis,0,0,0
50,3,3,1300,One bedroom units,Somali American,Female,Ghosted,Minneapolis,0,0,0
51,1,2,1115,One bedroom units,White American,Female,Positive contact,St. Paul and suburbs,0,1,0
51,2,2,1115,One bedroom units,Somali American,Female,Positive contact,St. Paul and suburbs,0,1,0
51,3,2,1115,One bedroom units,African American,Female,Positive contact,St. Paul and suburbs,0,1,0
52,1,2,825,One bedroom units,African American,Male,Positive contact,St. Paul and suburbs,0,1,0
52,2,2,825,One bedroom units,White American,Female,Ghosted,St. Paul and suburbs,0,0,0
52,3,2,825,One bedroom units,Somali American,Male,Positive contact,St. Paul and suburbs,0,1,0
53,1,2,900,One bedroom units,African American,Male,Negative contact,Minneapolis,0,0,0
53,2,2,900,One bedroom units,African American,Male,Ghosted,Minneapolis,0,0,0
53,3,2,900,One bedroom units,White American,Female,Ghosted,Minneapolis,0,0,0
54,1,2,1422,One bedroom units,African American,Female,Positive contact,Minneapolis,0,1,0
54,2,2,1422,One bedroom units,African American,Female,Positive contact,Minneapolis,0,1,0
54,3,2,1422,One bedroom units,White American,Male,Positive contact,Minneapolis,0,1,0
55,1,2,995,One bedroom units,African American,Female,Ghosted,Minneapolis,0,0,0
55,2,2,995,One bedroom units,White American,Male,Positive contact,Minneapolis,0,1,0
55,3,2,995,One bedroom units,Somali American,Male,Ghosted,Minneapolis,0,0,0
56,1,2,1095,One bedroom units,White American,Female,Positive contact,St. Paul and suburbs,0,1,0
56,2,2,1095,One bedroom units,African American,Male,Positive contact,St. Paul and suburbs,0,1,0
56,3,2,1095,One bedroom units,Somali American,Male,Positive contact,St. Paul and suburbs,0,1,0
57,1,4,875,One bedroom units,White American,Female,Ghosted,St. Paul and suburbs,0,0,0
57,2,4,875,One bedroom units,White American,Male,Positive contact,St. Paul and suburbs,0,1,0
57,3,4,875,One bedroom units,African American,Female,Positive contact,St. Paul and suburbs,0,1,0
59,1,2,1125,One bedroom units,White American,Male,Ambiguous contact,St. Paul and suburbs,0,0,0
59,2,2,1125,One bedroom units,African American,Male,Ambiguous contact,St. Paul and suburbs,0,0,0
59,3,2,1125,One bedroom units,Somali American,Female,Ghosted,St. Paul and suburbs,0,0,0
60,1,2,1486,One bedroom units,Somali American,Male,Positive contact,Minneapolis,0,1,0
60,2,2,1486,One bedroom units,African American,Female,Positive contact,Minneapolis,0,1,0
60,3,2,1486,One bedroom units,Somali American,Male,Positive contact,Minneapolis,0,1,0
61,1,2,940,One bedroom units,African American,Female,Positive contact,Minneapolis,0,1,0
61,2,2,940,One bedroom units,White American,Male,Positive contact,Minneapolis,0,1,0
61,3,2,940,One bedroom units,Somali American,Male,Positive contact,Minneapolis,0,1,0
62,1,2,995,One bedroom units,African American,Female,Ambiguous contact,Minneapolis,0,0,0
62,2,2,995,One bedroom units,Somali American,Female,Ghosted,Minneapolis,0,0,0
62,3,2,995,One bedroom units,White American,Female,Ambiguous contact,Minneapolis,0,0,0
63,1,2,1940,One bedroom units,Somali American,Female,Ghosted,Minneapolis,0,0,0
63,2,2,1940,One bedroom units,White American,Male,Ghosted,Minneapolis,0,0,0
63,3,2,1940,One bedroom units,African American,Male,Ghosted,Minneapolis,0,0,0
64,1,2,1106,One bedroom units,African American,Female,Ambiguous contact,St. Paul and suburbs,0,0,0
64,2,2,1106,One bedroom units,Somali American,Female,Ambiguous contact,St. Paul and suburbs,0,0,0
64,3,2,1106,One bedroom units,African American,Female,Ambiguous contact,St. Paul and suburbs,0,0,0
65,1,2,980,One bedroom units,White American,Female,Positive contact,St. Paul and suburbs,0,1,0
65,2,2,980,One bedroom units,Somali American,Male,Positive contact,St. Paul and suburbs,0,1,0
65,3,2,980,One bedroom units,African American,Male,Positive contact,St. Paul and suburbs,0,1,0
66,1,4,750,One bedroom units,Somali American,Male,Ghosted,St. Paul and suburbs,0,0,0
66,2,4,750,One bedroom units,African American,Female,Ghosted,St. Paul and suburbs,0,0,0
66,3,4,750,One bedroom units,White American,Female,Ghosted,St. Paul and suburbs,0,0,0
67,1,2,1895,One bedroom units,Somali American,Male,Positive contact,Minneapolis,0,1,0
67,2,2,1895,One bedroom units,Somali American,Female,Positive contact,Minneapolis,0,1,0
67,3,2,1895,One bedroom units,Somali American,Female,Positive contact,Minneapolis,0,1,0
68,1,4,1559,One bedroom units,White American,Male,Ambiguous contact,Minneapolis,0,0,0
68,2,4,1559,One bedroom units,Somali American,Female,Ambiguous contact,Minneapolis,0,0,0
68,3,4,1559,One bedroom units,Somali American,Female,Ambiguous contact,Minneapolis,0,0,0
69,1,2,930,One bedroom units,African American,Male,Positive contact,Minneapolis,0,1,0
69,2,2,930,One bedroom units,White American,Female,Positive contact,Minneapolis,0,1,0
69,3,2,930,One bedroom units,White American,Female,Positive contact,Minneapolis,0,1,0
70,1,4,675,One bedroom units,Somali American,Male,Ghosted,St. Paul and suburbs,0,0,0
70,2,4,675,One bedroom units,Somali American,Male,Positive contact,St. Paul and suburbs,0,1,0
70,3,4,675,One bedroom units,African American,Female,Positive contact,St. Paul and suburbs,0,1,0
71,1,2,995,One bedroom units,Somali American,Female,Positive contact,Minneapolis,0,1,0
71,2,2,995,One bedroom units,White American,Female,Positive contact,Minneapolis,0,1,0
71,3,2,995,One bedroom units,African American,Male,Ghosted,Minneapolis,0,0,0
72,1,2,995,One bedroom units,White American,Male,Positive contact,Minneapolis,0,1,0
72,2,2,995,One bedroom units,White American,Female,Positive contact,Minneapolis,0,1,0
72,3,2,995,One bedroom units,Somali American,Female,Positive contact,Minneapolis,0,1,0
73,1,3,1250,One bedroom units,Somali American,Male,Positive contact,St. Paul and suburbs,0,1,0
73,2,3,1250,One bedroom units,Somali American,Male,Positive contact,St. Paul and suburbs,0,1,0
73,3,3,1250,One bedroom units,African American,Female,Positive contact,St. Paul and suburbs,0,1,0
75,1,2,819,One bedroom units,African American,Female,Ghosted,St. Paul and suburbs,0,0,0
75,2,2,819,One bedroom units,White American,Male,Ghosted,St. Paul and suburbs,0,0,0
75,3,2,819,One bedroom units,White American,Female,Ghosted,St. Paul and suburbs,0,0,0
76,1,2,925,One bedroom units,White American,Male,Positive contact,St. Paul and suburbs,0,1,0
76,2,2,925,One bedroom units,Somali American,Male,Positive contact,St. Paul and suburbs,0,1,0
76,3,2,925,One bedroom units,African American,Male,Positive contact,St. Paul and suburbs,0,1,0
77,1,2,695,One bedroom units,African American,Male,Positive contact,St. Paul and suburbs,0,1,0
77,2,2,695,One bedroom units,Somali American,Female,Positive contact,St. Paul and suburbs,0,1,0
77,3,2,695,One bedroom units,African American,Female,Ghosted,St. Paul and suburbs,0,0,0
78,1,4,850,One bedroom units,Somali American,Female,Positive contact,St. Paul and suburbs,0,1,0
78,2,4,850,One bedroom units,White American,Male,Positive contact,St. Paul and suburbs,0,1,0
78,3,4,850,One bedroom units,African American,Female,Positive contact,St. Paul and suburbs,0,1,0
79,1,2,1455,One bedroom units,White American,Male,Positive contact,St. Paul and suburbs,0,1,0
79,2,2,1455,One bedroom units,White American,Female,Positive contact,St. Paul and suburbs,0,1,0
79,3,2,1455,One bedroom units,White American,Male,Positive contact,St. Paul and suburbs,0,1,0
80,1,2,1176,One bedroom units,White American,Male,Positive contact,St. Paul and suburbs,0,1,0
80,2,2,1176,One bedroom units,Somali American,Female,Positive contact,St. Paul and suburbs,0,1,0
80,3,2,1176,One bedroom units,White American,Female,Positive contact,St. Paul and suburbs,0,1,0
81,1,2,869,One bedroom units,White American,Female,Ghosted,St. Paul and suburbs,0,0,0
81,2,2,869,One bedroom units,Somali American,Female,Ghosted,St. Paul and suburbs,0,0,0
81,3,2,869,One bedroom units,White American,Female,Ghosted,St. Paul and suburbs,0,0,0
82,1,4,1600,One bedroom units,African American,Female,Positive contact,St. Paul and suburbs,0,1,0
82,2,4,1600,One bedroom units,White American,Male,Positive contact,St. Paul and suburbs,0,1,0
82,3,4,1600,One bedroom units,African American,Male,Positive contact,St. Paul and suburbs,0,1,0
83,1,2,909,One bedroom units,Somali American,Male,Positive contact,St. Paul and suburbs,0,1,0
83,2,2,909,One bedroom units,African American,Male,Positive contact,St. Paul and suburbs,0,1,0
83,3,2,909,One bedroom units,Somali American,Female,Positive contact,St. Paul and suburbs,0,1,0
84,1,2,850,One bedroom units,African American,Female,Positive contact,St. Paul and suburbs,0,1,0
84,2,2,850,One bedroom units,African American,Female,Positive contact,St. Paul and suburbs,0,1,0
84,3,2,850,One bedroom units,Somali American,Female,Positive contact,St. Paul and suburbs,0,1,0
85,1,2,895,One bedroom units,White American,Male,Negative contact,St. Paul and suburbs,0,0,0
85,2,2,895,One bedroom units,Somali American,Female,Negative contact,St. Paul and suburbs,0,0,0
85,3,2,895,One bedroom units,Somali American,Female,Ghosted,St. Paul and suburbs,0,0,0
86,1,2,937,One bedroom units,Somali American,Male,Ghosted,St. Paul and suburbs,0,0,0
86,2,2,937,One bedroom units,White American,Male,Ghosted,St. Paul and suburbs,0,0,0
86,3,2,937,One bedroom units,White American,Female,Ghosted,St. Paul and suburbs,0,0,0
87,1,2,825,One bedroom units,African American,Male,Positive contact,St. Paul and suburbs,0,1,0
87,2,2,825,One bedroom units,African American,Female,Positive contact,St. Paul and suburbs,0,1,0
87,3,2,825,One bedroom units,African American,Male,Positive contact,St. Paul and suburbs,0,1,0
88,1,2,1723,One bedroom units,Somali American,Female,Ghosted,St. Paul and suburbs,0,0,0
88,2,2,1723,One bedroom units,White American,Male,Ghosted,St. Paul and suburbs,0,0,0
88,3,2,1723,One bedroom units,White American,Female,Ghosted,St. Paul and suburbs,0,0,0
89,1,4,850,One bedroom units,White American,Male,Ambiguous contact,St. Paul and suburbs,0,0,0
89,2,4,850,One bedroom units,White American,Male,Ambiguous contact,St. Paul and suburbs,0,0,0
89,3,4,850,One bedroom units,African American,Male,Ambiguous contact,St. Paul and suburbs,0,0,0
90,1,2,1100,One bedroom units,African American,Female,Positive contact,Minneapolis,0,1,0
90,2,2,1100,One bedroom units,Somali American,Female,Positive contact,Minneapolis,0,1,0
90,3,2,1100,One bedroom units,Somali American,Female,Ambiguous contact,Minneapolis,0,0,0
91,1,2,1035,One bedroom units,Somali American,Female,Positive contact,Minneapolis,0,1,0
91,2,2,1035,One bedroom units,Somali American,Female,Positive contact,Minneapolis,0,1,0
91,3,2,1035,One bedroom units,White American,Male,Positive contact,Minneapolis,0,1,0
92,1,2,2164,One bedroom units,African American,Male,Ghosted,Minneapolis,0,0,0
92,2,2,2164,One bedroom units,Somali American,Male,Positive contact,Minneapolis,0,1,0
92,3,2,2164,One bedroom units,White American,Male,Positive contact,Minneapolis,0,1,0
93,1,2,949,One bedroom units,Somali American,Female,Ghosted,Minneapolis,0,0,0
93,2,2,949,One bedroom units,White American,Male,Ghosted,Minneapolis,0,0,0
93,3,2,949,One bedroom units,Somali American,Male,Ghosted,Minneapolis,0,0,0
94,1,2,1150,One bedroom units,African American,Female,Positive contact,Minneapolis,0,1,0
94,2,2,1150,One bedroom units,African American,Male,Positive contact,Minneapolis,0,1,0
94,3,2,1150,One bedroom units,Somali American,Female,Positive contact,Minneapolis,0,1,0
95,1,2,1050,One bedroom units,Somali American,Male,Ghosted,St. Paul and suburbs,0,0,0
95,2,2,1050,One bedroom units,White American,Male,Ghosted,St. Paul and suburbs,0,0,0
95,3,2,1050,One bedroom units,Somali American,Female,Ghosted,St. Paul and suburbs,0,0,0
96,1,2,1475,One bedroom units,African American,Female,Positive contact,St. Paul and suburbs,0,1,0
96,2,2,1475,One bedroom units,Somali American,Male,Positive contact,St. Paul and suburbs,0,1,0
96,3,2,1475,One bedroom units,African American,Male,Ghosted,St. Paul and suburbs,0,0,0
97,1,4,1070,One bedroom units,Somali American,Male,Ghosted,St. Paul and suburbs,0,0,0
97,2,4,1070,One bedroom units,White American,Male,Ghosted,St. Paul and suburbs,0,0,0
97,3,4,1070,One bedroom units,White American,Male,Ghosted,St. Paul and suburbs,0,0,0
98,1,2,1617,One bedroom units,White American,Female,Ambiguous contact,Minneapolis,0,0,0
98,2,2,1617,One bedroom units,African American,Male,Ghosted,Minneapolis,0,0,0
98,3,2,1617,One bedroom units,White American,Male,Ghosted,Minneapolis,0,0,0
99,1,2,1050,One bedroom units,White American,Female,Positive contact,Minneapolis,0,1,0
99,2,2,1050,One bedroom units,African American,Female,Positive contact,Minneapolis,0,1,0
99,3,2,1050,One bedroom units,Somali American,Female,Positive contact,Minneapolis,0,1,0
100,1,2,1043,One bedroom units,African American,Female,Positive contact,Minneapolis,0,1,0
100,2,2,1043,One bedroom units,White American,Male,Ghosted,Minneapolis,0,0,0
100,3,2,1043,One bedroom units,African American,Male,Positive contact,Minneapolis,0,1,0
101,1,4,895,One bedroom units,White American,Male,Positive contact,St. Paul and suburbs,0,1,0
101,2,4,895,One bedroom units,White American,Female,Positive contact,St. Paul and suburbs,0,1,0
101,3,4,895,One bedroom units,Somali American,Female,Positive contact,St. Paul and suburbs,0,1,0
102,1,2,1145,One bedroom units,Somali American,Female,Positive contact,Minneapolis,0,1,0
102,2,2,1145,One bedroom units,White American,Male,Positive contact,Minneapolis,0,1,0
102,3,2,1145,One bedroom units,Somali American,Male,Ghosted,Minneapolis,0,0,0
103,1,2,990,One bedroom units,White American,Male,Positive contact,Minneapolis,0,1,0
103,2,2,990,One bedroom units,African American,Male,Positive contact,Minneapolis,0,1,0
103,3,2,990,One bedroom units,African American,Female,Positive contact,Minneapolis,0,1,0
104,1,2,1880,One bedroom units,Somali American,Male,Positive contact,St. Paul and suburbs,0,1,0
104,2,2,1880,One bedroom units,White American,Female,Positive contact,St. Paul and suburbs,0,1,0
104,3,2,1880,One bedroom units,African American,Male,Positive contact,St. Paul and suburbs,0,1,0
105,1,2,825,One bedroom units,Somali American,Male,Positive contact,Minneapolis,0,1,0
105,2,2,825,One bedroom units,White American,Male,Positive contact,Minneapolis,0,1,0
105,3,2,825,One bedroom units,White American,Male,Ambiguous contact,Minneapolis,0,0,0
106,1,2,800,One bedroom units,Somali American,Male,Positive contact,Minneapolis,0,1,0
106,2,2,800,One bedroom units,White American,Male,Ambiguous contact,Minneapolis,0,0,0
106,3,2,800,One bedroom units,African American,Male,Positive contact,Minneapolis,0,1,0
108,1,2,1500,One bedroom units,African American,Female,Ghosted,Minneapolis,0,0,0
108,2,2,1500,One bedroom units,White American,Female,Ghosted,Minneapolis,0,0,0
108,3,2,1500,One bedroom units,Somali American,Male,Ghosted,Minneapolis,0,0,0
109,1,2,1100,One bedroom units,African American,Male,Ambiguous contact,Minneapolis,0,0,0
109,2,2,1100,One bedroom units,Somali American,Male,Positive contact,Minneapolis,0,1,0
109,3,2,1100,One bedroom units,Somali American,Female,Ambiguous contact,Minneapolis,0,0,0
110,1,2,1045,One bedroom units,Somali American,Male,Ghosted,Minneapolis,0,0,0
110,2,2,1045,One bedroom units,White American,Male,Ghosted,Minneapolis,0,0,0
110,3,2,1045,One bedroom units,White American,Male,Positive contact,Minneapolis,0,1,0
111,1,4,740,One bedroom units,African American,Female,Ambiguous contact,Minneapolis,0,0,0
111,2,4,740,One bedroom units,African American,Male,Ambiguous contact,Minneapolis,0,0,0
111,3,4,740,One bedroom units,African American,Male,Ambiguous contact,Minneapolis,0,0,0
112,1,2,1250,One bedroom units,White American,Female,Ambiguous contact,Minneapolis,0,0,0
112,2,2,1250,One bedroom units,African American,Female,Ghosted,Minneapolis,0,0,0
112,3,2,1250,One bedroom units,Somali American,Male,Ambiguous contact,Minneapolis,0,0,0
113,1,2,995,One bedroom units,White American,Female,Ambiguous contact,St. Paul and suburbs,0,0,0
113,2,2,995,One bedroom units,African American,Female,Ambiguous contact,St. Paul and suburbs,0,0,0
113,3,2,995,One bedroom units,Somali American,Female,Ambiguous contact,St. Paul and suburbs,0,0,0
114,1,2,1065,One bedroom units,White American,Female,Negative contact,St. Paul and suburbs,0,0,0
